,PayrollID,EmployeeID,PayPeriod,HoursWorked,Bonus,Deductions
0,1,1.0,2024-01-01,80.0,500,1200.0
1,2,2.0,2024-01-15,82.0,0,1100.0
2,3,3.0,2024-02-01,75.0,0,950.0
3,4,4.0,2024-02-15,78.0,300,1300.0
4,5,5.0,2024-03-01,85.0,200,1100.0
5,6,6.0,2024-03-15,88.0,0,1050.0
6,7,7.0,2024-04-01,76.0,400,1150.0
7,8,8.0,2024-04-15,90.0,500,1500.0
8,9,9.0,2024-05-01,80.0,0,900.0
9,10,10.0,2024-05-15,82.64444444444445,250,1000.0
10,11,11.0,2024-06-01,82.0,150,1100.0
11,12,12.0,2024-06-15,79.0,300,1200.0
12,13,13.0,2024-07-01,81.0,0,1050.0
13,14,14.0,2024-07-15,83.0,400,1300.0
14,15,15.0,2024-08-01,77.0,200,1150.0
15,16,16.0,2024-08-15,86.0,0,1000.0
16,17,17.0,2024-09-01,80.0,500,1250.0
17,18,18.0,2024-09-15,84.0,300,1100.0
18,19,19.0,2024-10-01,79.0,150,950.0
19,20,20.0,2024-10-15,81.0,400,1200.0
20,21,21.0,2024-11-01,78.0,0,1050.0
21,91,21.0,2025-01-01,80.0,0,1100.0
22,22,22.0,2024-11-15,87.0,600,20000.0
23,23,23.0,2024-12-01,80.0,200,1000.0
24,24,24.0,2024-12-15,82.0,350,1150.0
25,25,25.0,2024-01-01,76.0,0,900.0
26,26,26.0,2024-01-15,85.0,250,1200.0
27,27,27.0,2024-02-01,83.0,300,1100.0
28,28,28.0,2024-02-15,79.0,0,1050.0
29,29,29.0,2024-03-01,81.0,400,1300.0
30,30,30.0,2024-03-15,88.0,500,1250.0
31,31,31.0,2024-04-01,77.0,150,1000.0
32,32,32.0,2024-04-15,84.0,0,1150.0
33,33,33.0,2024-05-01,80.0,300,1100.0
34,34,34.0,2024-05-15,82.0,200,1200.0
35,35,35.0,2024-06-01,86.0,400,1300.0
36,36,36.0,2024-06-15,78.0,0,950.0
37,37,37.0,2024-07-01,81.0,350,1100.0
38,38,38.0,2024-07-15,83.0,150,1050.0
39,39,39.0,2024-08-01,85.0,500,1250.0
40,40,40.0,2024-08-15,79.0,300,1000.0
41,41,41.0,2024-09-01,82.0,0,1150.0
42,42,42.0,2024-09-15,80.0,250,1100.0
43,43,43.0,2024-10-01,87.0,400,1400.0
44,44,44.0,2024-10-15,76.0,200,1000.0
45,45,45.0,2024-11-01,84.0,0,1200.0
46,46,46.0,2024-11-15,81.0,350,1100.0
47,47,47.0,2024-12-01,83.0,500,1300.0
48,48,48.0,2024-12-15,79.0,300,1050.0
49,49,49.0,2024-01-01,86.0,0,1250.0
50,50,50.0,2024-01-15,82.0,400,1150.0
51,51,999.0,2024-02-01,80.0,200,1000.0
53,52,3.0,2024-03-01,75.0,150,950.0
54,53,7.0,2024-04-15,82.64444444444445,300,1100.0
55,54,15.0,2024-05-01,78.0,0,1100.0
56,55,22.0,2024-06-01,175.0,1000,15000.0
57,92,1.0,Jan-2024,80.0,0,1000.0
58,93,5.0,2024/03/15,82.0,200,1100.0
59,94,12.0,invalid,79.0,150,950.0
60,56,25.0,2024-07-15,82.0,0,1200.0
61,57,31.0,2024-08-01,82.64444444444445,250,1000.0
62,58,38.0,2024-09-15,80.0,200,1100.0
63,59,45.0,2024-10-01,84.0,0,1200.0
64,60,50.0,2024-11-15,79.0,300,1100.0
65,61,1.0,2024-02-15,81.0,0,1050.0
66,62,5.0,2024-04-01,85.0,300,1400.0
67,63,11.0,2024-06-15,82.0,150,1100.0
68,64,17.0,2024-08-15,80.0,500,1250.0
69,65,23.0,2024-10-15,78.0,200,1000.0
70,66,29.0,2024-12-15,83.0,400,1300.0
71,67,35.0,2024-02-01,86.0,0,1200.0
72,68,41.0,2024-04-15,79.0,350,1100.0
73,69,47.0,2024-06-01,88.0,500,1350.0
74,70,9999.0,2024-08-01,80.0,0,1000.0
75,71,2.0,2024-10-01,82.0,200,1100.0
76,72,8.0,2024-12-01,84.0,400,1200.0
77,73,14.0,2024-01-15,81.0,0,1050.0
78,74,20.0,2024-03-15,85.0,300,1300.0
79,75,26.0,2024-05-15,79.0,150,1000.0
80,76,32.0,2024-07-01,83.0,500,1250.0
81,77,38.0,2024-09-01,80.0,0,1100.0
82,78,44.0,2024-11-01,82.0,250,1150.0
83,79,50.0,2024-01-01,86.0,400,1300.0
84,80,6.0,2024-03-01,84.0,300,1200.0
86,82,18.0,2024-07-15,83.0,200,1100.0
87,83,24.0,2024-09-15,79.0,350,1150.0
88,84,30.0,2024-11-15,85.0,500,1250.0
89,85,36.0,2024-01-15,82.0,0,1000.0
90,86,42.0,2024-03-15,80.0,250,1100.0
91,87,48.0,2024-05-15,84.0,400,1300.0
92,88,4.0,2024-07-01,81.0,300,1200.0
93,89,10.0,2024-09-01,83.0,0,1050.0
94,90,16.0,2024-11-01,79.0,200,1000.0
