PayrollID,EmployeeID,PayPeriod,HoursWorked,Bonus,Deductions
1,1,2024-01-01,80,500,1200
2,2,2024-01-15,82,0,1100
3,3,2024-02-01,75,-100,950
4,4,2024-02-15,78,300,1300
5,5,2024-03-01,85,200,
6,6,2024-03-15,88,0,1050
7,7,2024-04-01,76,400,1150
8,8,2024-04-15,90,500,1500
9,9,2024-05-01,80,0,900
10,10,2024-05-15,-5,250,1000
11,11,2024-06-01,82,150,1100
12,12,2024-06-15,79,300,1200
13,13,2024-07-01,81,0,1050
14,14,2024-07-15,83,400,1300
15,15,2024-08-01,77,200,1150
16,16,2024-08-15,86,0,1000
17,17,2024-09-01,80,500,1250
18,18,2024-09-15,84,300,1100
19,19,2024-10-01,79,150,950
20,20,2024-10-15,81,400,1200
21,21,2024-11-01,78,0,1050
91,21,2025-01-01,80,0,1100
22,22,2024-11-15,87,600,20000
23,23,2024-12-01,80,200,1000
24,24,2024-12-15,82,350,1150
25,25,2024-01-01,76,0,900
26,26,2024-01-15,85,250,1200
27,27,2024-02-01,83,300,1100
28,28,2024-02-15,79,0,1050
29,29,2024-03-01,81,400,1300
30,30,2024-03-15,88,500,1250
31,31,2024-04-01,77,150,1000
32,32,2024-04-15,84,0,1150
33,33,2024-05-01,80,300,1100
34,34,2024-05-15,82,200,1200
35,35,2024-06-01,86,400,1300
36,36,2024-06-15,78,0,950
37,37,2024-07-01,81,350,1100
38,38,2024-07-15,83,150,1050
39,39,2024-08-01,85,500,1250
40,40,2024-08-15,79,300,1000
41,41,2024-09-01,82,0,1150
42,42,2024-09-15,80,250,1100
43,43,2024-10-01,87,400,1400
44,44,2024-10-15,76,200,1000
45,45,2024-11-01,84,0,1200
46,46,2024-11-15,81,350,1100
47,47,2024-12-01,83,500,1300
48,48,2024-12-15,79,300,1050
49,49,2024-01-01,86,0,1250
50,50,2024-01-15,82,400,1150
51,999,2024-02-01,80,200,1000
95,,2024-09-01,81,300,1200
52,3,2024-03-01,75,150,950
53,7,2024-04-15,invalid,300,1100
54,15,2024-05-01,78,0,
55,22,2024-06-01,175,1000,15000
92,1,Jan-2024,80,0,1000
93,5,2024/03/15,82,200,1100
94,12,invalid,79,150,950
56,25,2024-07-15,82,-50,1200
57,31,2024-08-01,,250,1000
58,38,2024-09-15,80,200,invalid
59,45,2024-10-01,84,0,1200
60,50,2024-11-15,79,300,1100
61,1,2024-02-15,81,0,1050
62,5,2024-04-01,85,300,1400
63,11,2024-06-15,82,150,1100
64,17,2024-08-15,80,500,1250
65,23,2024-10-15,78,200,1000
66,29,2024-12-15,83,400,1300
67,35,2024-02-01,86,0,1200
68,41,2024-04-15,79,350,1100
69,47,2024-06-01,88,500,1350
70,9999,2024-08-01,80,0,1000
71,2,2024-10-01,82,200,1100
72,8,2024-12-01,84,400,1200
73,14,2024-01-15,81,0,1050
74,20,2024-03-15,85,300,1300
75,26,2024-05-15,79,150,1000
76,32,2024-07-01,83,500,1250
77,38,2024-09-01,80,0,1100
78,44,2024-11-01,82,250,1150
79,50,2024-01-01,86,400,1300
80,6,2024-03-01,84,300,1200
-1,12,2024-05-01,81,0,1050
82,18,2024-07-15,83,200,1100
83,24,2024-09-15,79,350,1150
84,30,2024-11-15,85,500,1250
85,36,2024-01-15,82,0,1000
86,42,2024-03-15,80,250,1100
87,48,2024-05-15,84,400,1300
88,4,2024-07-01,81,300,1200
89,10,2024-09-01,83,0,1050
90,16,2024-11-01,79,200,1000

